Gene Names (primary)	Gene Names (synonym)	Subcellular location [CC]
Prss52	Tesp3	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.
Pradc1	Pap21	SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:Q9BSG0}.
Dnaaf19	Ccdc103	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q6DGB6}. Cell projection, cilium, flagellum {ECO:0000250|UniProtKB:Q6DGB6}.
Dmrtc1	Dmrt8.1 Dmrtc1a	
Spata3	Tsarg1	SUBCELLULAR LOCATION: Cell projection, cilium, flagellum {ECO:0000250|UniProtKB:Q8NHX4}.
Tex22	Tep22	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:12359214}. Cytoplasmic vesicle, secretory vesicle, acrosome {ECO:0000269|PubMed:12359214}. Note=Localizes in the acrosomal region of early elongating spermatids. During late stages of elongating spermatids, no longer detected in the acrosomal region, while it mainly localizes in the cytoplasm. Incorporated into the midpiece of spermatids and is also present in the mitochondrial sheath of mature spermatozoa.
Dennd6b		SUBCELLULAR LOCATION: Recycling endosome {ECO:0000305}. Cytoplasm {ECO:0000305}.
Ssmem1		SUBCELLULAR LOCATION: Membrane {ECO:0000255}; Single-pass membrane protein {ECO:0000255}.
Dda1		
H2bl1	SubH2Bv	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Note=Subacrosomal region. Does not localize in nucleus (By similarity). {ECO:0000250}.
Lyrm7	MZM1L	SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000250}.
Izumo2		SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
Spata25	Tsg23	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
Ccdc89	Boip	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q7ZW57}. Nucleus {ECO:0000250|UniProtKB:Q7ZW57}. Note=Uniformly distributed within the cell, but becomes recruited to the nucleus upon binding to HEY1. {ECO:0000250|UniProtKB:Q7ZW57}.
Cmtm2b	Cklfsf2b	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.
Pou5f2	Sprm1	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00108, ECO:0000255|PROSITE-ProRule:PRU00530}.
Pfn3		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250}. Nucleus {ECO:0000269|PubMed:18692047}.
Rbmxl2	Hnrnpgt	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:O75526}.
		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, cilium basal body {ECO:0000269|PubMed:27914912, ECO:0000269|PubMed:28666954}.
Ddi1		
Dynlrb2	Dncl2b Dnlc2b	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton.
Rhobtb1		
Cst12		SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
Cfap97d1		
Znf654	Zfp654	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Prpf4		SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:O43172}. Nucleus speckle {ECO:0000250|UniProtKB:O43172}.
Prl2b1	Prlpk	SUBCELLULAR LOCATION: Secreted {ECO:0000250}.
Alg5		SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q9Y673}; Single-pass membrane protein {ECO:0000255}.
Pop5		SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000250|UniProtKB:Q969H6}.
Znf580	Zfp580	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Note=Colocalized with SMAD2 in the nucleus. {ECO:0000250}.
Znf593	Zfp593	SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000250|UniProtKB:O00488}. Cytoplasm {ECO:0000250|UniProtKB:Q08004}. Note=Shuttles between the nucleus and the cytoplasm. {ECO:0000250|UniProtKB:Q08004}.
Zfpl1		SUBCELLULAR LOCATION: Golgi apparatus, cis-Golgi network membrane {ECO:0000250}; Single-pass membrane protein {ECO:0000250}.
Pabir1	Fam122a	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q96E09}. Cytoplasm {ECO:0000250|UniProtKB:Q96E09}. Note=The CHEK1-mediated Ser-34 phosphorylated form is sequestered by 14-3-3 proteins in the cytoplasm and fails to translocate to the nucleus, where it otherwise inhibits serine/threonine-protein phosphatase 2A. {ECO:0000250|UniProtKB:Q96E09}.
Cyb5r1	Nqo3a2	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
Emc9	Cgi112 Fam158a	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q9Y3B6}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q9Y3B6}; Cytoplasmic side {ECO:0000250|UniProtKB:Q9Y3B6}.
Med29	Ixl	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.
Amdhd1		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q96NU7}.
Naa16	Narg1l Nat2	
Eif4e3		
Cpn2		SUBCELLULAR LOCATION: Secreted {ECO:0000250}.
Gdap2		
P33monox	Kiaa1191	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:21153684}.
Armc8		SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q8IUR7}. Cytoplasm {ECO:0000250|UniProtKB:Q8IUR7}.
Acoxl		
Klc4	Knsl8	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000305}.
Ergic1	Ergic32	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Endoplasmic reticulum-Golgi intermediate compartment membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Golgi apparatus membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Note=Cycles between the endoplasmic reticulum and the Golgi. {ECO:0000250}.
Dcaf6	Iqwd1	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.
Pmpca	Inpp5e	SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000250|UniProtKB:P20069}. Mitochondrion inner membrane {ECO:0000250|UniProtKB:Q10713}.
Mrps15	Rpms15	SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000250|UniProtKB:P82914}.
Mrps11		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:P82911}.
Brix1	Brix Bxdc2	SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000250}.
Isca2	Hbld1	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:Q86U28}.
Pak1ip1		SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000250|UniProtKB:Q9NWT1}.
Ssr3		SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
Pop7	Rpp20	SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000250|UniProtKB:O75817}. Cytoplasm {ECO:0000250|UniProtKB:O75817}. Cytoplasmic granule {ECO:0000250|UniProtKB:O75817}. Note=Under stress conditions colocalizes with SMN1 in punctuated cytoplasmic granules. {ECO:0000250|UniProtKB:O75817}.
Mrpl32	Heg1	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:Q9BYC8}.
Tspan4	Tm4sf7	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.
Znf414	Zfp414	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Ciao2a	Fam96a	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.
Mettl15	Mett5d1	SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000250|UniProtKB:A6NJ78}.
Ppp1r2		
Rnft1		SUBCELLULAR LOCATION: Early endosome membrane {ECO:0000250|UniProtKB:Q5M7Z0}; Multi-pass membrane protein {ECO:0000305}.
Golt1a		SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
Serpina1f		SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:P07758}.
Tmem176a	Gs188 Keg2	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Bacc1	Bap18	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Crip2	Crp2 Hlp	
Paqr5	Mprg	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q9NXK6}; Multi-pass membrane protein {ECO:0000255}.
Mrpl4		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:Q9BYD3}.
Rmdn1	Fam82b	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Cytoplasm, cytoskeleton, spindle {ECO:0000250}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000250}. Note=In interphase localizes in the cytoplasm, and during mitosis localizes to the spindle microtubules and spindle poles. {ECO:0000250}.
Mad2l1bp	Mad2lbp	SUBCELLULAR LOCATION: Nucleus, nucleoplasm {ECO:0000250}. Cytoplasm, cytoskeleton, spindle {ECO:0000250}. Note=During early mitosis, unevenly distributed throughout the nucleoplasm. From metaphase to anaphase, concentrated on the spindle (By similarity). {ECO:0000250}.
Keg1		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250}. Note=Also localizes in regions surrounding the centrosome. The centrosomal localization is dependent on microtubules (By similarity). {ECO:0000250}.
Gmpr	Gmpr1	
Nudt22		
Tmt1b	Mettl7b	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q562C4}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q562C4}. Lipid droplet {ECO:0000250|UniProtKB:Q562C4}. Microsome {ECO:0000250|UniProtKB:Q6UX53}. Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q6UX53}. Note=Highly concentrated in the perinuclear area of the endoplasmic reticulum (ER) and surrounding lipid droplets. May be associated with the specific regions of the LR that form lipid droplets and targeted to the initial deposits of lipids where the lipid droplets form. {ECO:0000250|UniProtKB:Q562C4}.
Tceal9	Wbp5	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Emc7	Orf3	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q9NPA0}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q9NPA0}.
Rbp7		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.
Cpsf1	Cpsf160	SUBCELLULAR LOCATION: Nucleus, nucleoplasm {ECO:0000250}.
Papln		SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
Fbxl12	Fbl12	
V1ra8		SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000255}.
Bean1		SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
Mrpl46		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:Q9H2W6}.
Nkx2-4	Nkx2d	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00108}.
Gpr63		SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Mycbp	Amy1	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}. Note=Translocates into the nucleus in the S phase of the cell cycle. {ECO:0000250}.
Aif1l	Iba2	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250}. Cell projection, ruffle membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Note=Colocalizes with F-actin. Partially relocates to membrane ruffles in response to invading bacteria (By similarity). {ECO:0000250}.
Prss22	Bssp4 Prss26	
Elp4	Paxneb	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q96EB1}. Nucleus {ECO:0000250|UniProtKB:Q96EB1}.
Sertad3	Rbt1	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q9UJW9}. Nucleus, nucleolus {ECO:0000250|UniProtKB:Q9UJW9}.
Parvg		SUBCELLULAR LOCATION: Cell junction, focal adhesion. Cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}. Note=Constituent of focal adhesions. {ECO:0000250}.
Krt81	Krt2-19	
Tlnrd1	Mesdc1	
Gmfg		
Scamp2		SUBCELLULAR LOCATION: Golgi apparatus, trans-Golgi network membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Recycling endosome membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
Selenof	Sep15	SUBCELLULAR LOCATION: Endoplasmic reticulum lumen {ECO:0000250}. Note=The association with UGGT1/UGCGL1 is essential for its retention in the endoplasmic reticulum. {ECO:0000250}.
Znf319	Zfp319	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Plekha3	Fapp1	SUBCELLULAR LOCATION: Golgi apparatus, trans-Golgi network membrane {ECO:0000250|UniProtKB:Q9HB20}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q9HB20}. Note=Localizes to ER-trans Golgi network (TGN) contacts sites. {ECO:0000250|UniProtKB:Q9HB20}.
Ppp1r1a		
Popdc3	Pop3	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Ypel1		SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11473580}.
P2ry14	Gpr105	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Wfdc1	Ps20	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
Fgf16		SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:O54769}.
Doc2g		
Sdf2l1		SUBCELLULAR LOCATION: Endoplasmic reticulum lumen {ECO:0000255|PROSITE-ProRule:PRU10138}.
Npvf	Rfrp	SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:Q9HCQ7}.
Pgpep1	Pgpi	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.
Tm9sf3	Smbp	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Cldn12		SUBCELLULAR LOCATION: Cell junction, tight junction {ECO:0000269|PubMed:30734065}. Cell membrane {ECO:0000250|UniProtKB:P56749}; Multi-pass membrane protein {ECO:0000255}.
Or7a40	Mor140-1 Olfr19	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000255}.
Tssc4		SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q9Y5U2}. Cytoplasm {ECO:0000250|UniProtKB:Q9Y5U2}. Note=Shuttles between the cytoplasm and the nucleus, associated with the U5 snRNP. {ECO:0000250|UniProtKB:Q9Y5U2}.
Pigp	Dcrc Dscr5	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Copz2		SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:17360540}. Endoplasmic reticulum-Golgi intermediate compartment membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Golgi apparatus membrane {ECO:0000269|PubMed:17360540}; Peripheral membrane protein {ECO:0000269|PubMed:17360540}; Cytoplasmic side {ECO:0000269|PubMed:17360540}. Cytoplasmic vesicle, COPI-coated vesicle membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Note=The coatomer is cytoplasmic or polymerized on the cytoplasmic side of the Golgi, as well as on the vesicles/buds originating from it. Shows a significant preference for ERGIC and cis-Golgi apparatus compared with trans-Golgi network. {ECO:0000250}.
Prl2a1	Prlpm	SUBCELLULAR LOCATION: Secreted {ECO:0000250}.
Whr1	Rp1 Stk19 Twh19	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:P49842}.
Isyna1	Ino1	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P11986}.
Allc		
Wfdc12	Swam2	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
Wfdc15b	Swam1 Wfdc15	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
Fibp		SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:O43427}. Endomembrane system {ECO:0000250|UniProtKB:O43427}; Peripheral membrane protein {ECO:0000250}. Note=Also associated with cytoplasmic membranes, particularly of mitochondria. {ECO:0000250|UniProtKB:O43427}.
Plac1		SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
Ctsr	Catr	SUBCELLULAR LOCATION: Lysosome {ECO:0000305}.
Naip7	Birc1g	
Gtf2h2	Btf2p44	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q13888}.
Otor	Mial	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
Praf2	DXImx39e	SUBCELLULAR LOCATION: Endosome membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
Prl5a1	D13Wsu14e Prlpl	SUBCELLULAR LOCATION: Secreted {ECO:0000250}.
Zfand2a	Airap	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11525245}. Nucleus {ECO:0000269|PubMed:11525245}.
Tulp4	Tusp	SUBCELLULAR LOCATION: Cytoplasm.
Yipf7	Yip1b	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:11489904}; Multi-pass membrane protein {ECO:0000269|PubMed:11489904}. Golgi apparatus, cis-Golgi network membrane {ECO:0000250|UniProtKB:Q8N8F6}. Golgi apparatus, trans-Golgi network membrane {ECO:0000250|UniProtKB:Q8N8F6}.
Lmbr1		SUBCELLULAR LOCATION: Membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
Rnf32	Lmbr2	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.
Eny2		SUBCELLULAR LOCATION: Nucleus, nucleoplasm {ECO:0000255|HAMAP-Rule:MF_03046}.
Rpf2	Bxdc1	SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000250|UniProtKB:Q9H7B2}. Note=Associated with the nucleolus in an RNA-dependent manner. {ECO:0000250|UniProtKB:Q9H7B2}.
Pigb		SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q92521}; Multi-pass membrane protein {ECO:0000255}.
Xlr5c	Xlr5	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:26075718}. Chromosome {ECO:0000269|PubMed:26075718}. Note=May localize to synaptonemal complexes in meiotic spermatocytes. {ECO:0000269|PubMed:26075718}.
Rcl1	Rnac	SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000250|UniProtKB:Q9Y2P8}.
Sh3bgrl		SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:O75368}. Cell membrane {ECO:0000250|UniProtKB:O75368}.
Crybb3		
Cryba4		
Cryba2		
Tmem37	Cacng5 Pr Pr1	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Stk32b	Stk32	
Il22b	Iltifb	SUBCELLULAR LOCATION: Secreted.
Btnl10	Butr1	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.
Pard6g	Par6g	SUBCELLULAR LOCATION: Cytoplasm. Cell membrane {ECO:0000250}. Cell junction, tight junction {ECO:0000250}.
Tas2r103	Tas2r10	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.
Gpa33		SUBCELLULAR LOCATION: Membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}.
Mrpl39		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:Q9NYK5}.
Rcan3	Dscr1l2	
Chrac1		SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Tas2r119	Tas2r19	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.
Ninj2		SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q9NZG7}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q9NZG7}.
Pkd2l2		SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:20043191}; Multi-pass membrane protein {ECO:0000255}.
Tmod4		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q9NZQ9}. Note=In myofibrils with sarcomeric structure, localizes to the pointed end of actin thin filaments. {ECO:0000250|UniProtKB:Q9NZQ9}.
Sec61a2		SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:P61619}; Multi-pass membrane protein {ECO:0000255}.
Hilpda	Hig2	SUBCELLULAR LOCATION: Lipid droplet {ECO:0000250}. Secreted {ECO:0000250}. Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
Dusp14	Mkp6	
Hic2	Kiaa1020	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Calm4	Dd112	
Arl6ip4		SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000250}. Nucleus speckle {ECO:0000250}.
Trappc2l		SUBCELLULAR LOCATION: Cytoplasm, perinuclear region {ECO:0000250}. Endoplasmic reticulum {ECO:0000250}. Golgi apparatus {ECO:0000250}.
C1galt1c1	Cosmc	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.
Nkain4	Fam77a	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Tpsg1	Tmt	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
Prl3c1	Prlpi Prlpj	SUBCELLULAR LOCATION: Secreted {ECO:0000250}.
Myl7	Mylc2a	
Rad1	Rec1	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:O60671}.
Dapp1	Bam32	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}. Note=Membrane-associated after cell stimulation leading to its translocation. {ECO:0000250}.
Fbxl6	Fbl6	
Tspan3	Tm4sf8	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Pdzd4	Pdzk4 Pdzrn4l Xlu	SUBCELLULAR LOCATION: Cytoplasm, cell cortex {ECO:0000250}. Note=Mainly localized under the plasma membrane. {ECO:0000250}.
Actl7b	Tact1	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250}.
Pcnx1	Kiaa0805 Pcnx Pcnxl1	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Ndrg3	Ndr3	
Dnajb12		SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q9NXW2}; Single-pass membrane protein {ECO:0000255}. Nucleus membrane {ECO:0000250|UniProtKB:Q9NXW2}; Single-pass membrane protein {ECO:0000250|UniProtKB:Q9NXW2}. Note=Localizes to the endoplasmic reticulum membrane. When overexpressed, forms membranous structures in the nucleus. {ECO:0000250|UniProtKB:Q9NXW2}.
Dnajb8		
Dnajb7		
Pigq	Gpi1h Mgpi1	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Esm1		SUBCELLULAR LOCATION: Secreted {ECO:0000250}.
Smok2a		
Phtf1	Phtf	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:F1M8G0}; Multi-pass membrane protein {ECO:0000255}. Golgi apparatus, cis-Golgi network membrane {ECO:0000250|UniProtKB:F1M8G0}; Multi-pass membrane protein {ECO:0000255}.
Vnn3		SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Lipid-anchor, GPI-anchor {ECO:0000305}. Note=According to PubMed:11491533, secreted. {ECO:0000269|PubMed:11491533}.
Ubxn8	D0H8S2298E Rep8 Ubxd6	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
Actr10	Act11 Actr11 Arp10 Arp11	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:I3LHK5}.
Dctn5		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:A0A286ZK88}. Chromosome, centromere, kinetochore {ECO:0000250|UniProtKB:Q9BTE1}.
Plekhb2	Evt2	SUBCELLULAR LOCATION: Recycling endosome membrane {ECO:0000250}; Peripheral membrane protein. Note=Specifically detected in tubulovesicular structures, and colocalizes with TFNR. {ECO:0000250}.
Abhd1	Labh1	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.
Chml	Rep2	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250}.
Fbxo17	Fbx17 Fbxo26	
Zranb2	Zfp265 Zis Znf265	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.
Angptl2	Arp2	SUBCELLULAR LOCATION: Secreted {ECO:0000250}.
Tbl2		
Wdr54	D3Mm3e	SUBCELLULAR LOCATION: Vesicle {ECO:0000250|UniProtKB:Q9H977}. Cytoplasm {ECO:0000250|UniProtKB:D3ZX63}. Cell membrane {ECO:0000250|UniProtKB:D3ZX63}. Note=Aggregates in vesicles when cross-linked. {ECO:0000250|UniProtKB:Q9H977}.
Mpdu1	Supl15h	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Gpr34		SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q9UPC5}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q9UPC5}.
Tagln3	Np25	
Fam50b	D0H6S2654E X5l	
Hebp2	Soul	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q9Y5Z4}. Mitochondrion {ECO:0000250|UniProtKB:Q9Y5Z4}. Note=Mainly localized to the cytoplasm with a much lower abundance in the mitochondrion. {ECO:0000250|UniProtKB:Q9Y5Z4}.
Faim	Faim1	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:19168072}.
Egr4		SUBCELLULAR LOCATION: Nucleus.
Insl5	Rif Rif2 Zins3	SUBCELLULAR LOCATION: Secreted {ECO:0000250}.
Tmem115	Pl6	SUBCELLULAR LOCATION: Golgi apparatus, Golgi stack membrane {ECO:0000250|UniProtKB:Q12893}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q12893}.
Orc6	Orc6l	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.
Eif4h	Wbscr1	SUBCELLULAR LOCATION: Cytoplasm, perinuclear region.
Orc5	Orc5l	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:O43913}. Chromosome {ECO:0000250|UniProtKB:O43913}.
Fam50a	D0HXS9928E Xap5	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q14320}.
