names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,subcluster
Arhgap42,26.245358,1.955452,8.075444271889348e-152,1.7849930036626702e-149,0.8518518518518519,0.47330916364545567,Purkinje_Aldoc_1
Galm,26.231274,2.8496737,1.1691790392859327e-151,2.559011965888083e-149,0.7584541062801933,0.23309163645455683,Purkinje_Aldoc_1
Frmd6,26.148512,1.8093739,1.0246713034285513e-150,2.2209501795186808e-148,0.8663446054750402,0.5613201650206275,Purkinje_Aldoc_1
Elmo1,26.115679,0.5270765,2.419718000748172e-150,5.194250419875283e-148,0.998389694041868,0.9985623202900362,Purkinje_Aldoc_1
Col4a2,25.924334,2.4818485,3.541672720153065e-148,7.459230516737469e-146,0.7938808373590982,0.2405300662582823,Purkinje_Aldoc_1
Gm42439,25.882254,0.81569314,1.0550983744842988e-147,2.2014085243328943e-145,1.0,0.9961870233779222,Purkinje_Aldoc_1
Trpc4,25.87627,1.8907657,1.2321258991939848e-147,2.5469639536579363e-145,0.8711755233494364,0.5100012501562695,Purkinje_Aldoc_1
Cntn6,25.824339,1.583496,4.726370968994959e-147,9.680388246129583e-145,0.9822866344605475,0.8744843105388174,Purkinje_Aldoc_1
Cpne9,25.792994,1.4713587,1.062682974852712e-146,2.1567634012351633e-144,0.9629629629629629,0.7142767845980748,Purkinje_Aldoc_1
Nav3,25.397474,1.4699756,2.6892722636892265e-142,5.360536007755534e-140,0.9919484702093397,0.8212901612701587,Purkinje_Aldoc_1
Tfap2a,25.228516,2.9143689,1.9495176584639544e-140,3.8515913031157334e-138,0.7198067632850241,0.20902612826603326,Purkinje_Aldoc_1
Pigs,25.215515,1.6793927,2.7074286895966965e-140,5.3020478504601974e-138,0.9162640901771336,0.6285785723215402,Purkinje_Aldoc_1
Col4a1,25.207817,2.854857,3.288350171367073e-140,6.383688484849557e-138,0.7246376811594203,0.18583572946618326,Purkinje_Aldoc_1
Dlx4os,25.161646,1.6307986,1.0538480945435332e-139,2.0108682658704595e-137,0.8904991948470209,0.610388798599825,Purkinje_Aldoc_1
Meg3,25.106062,0.4601803,4.270259214779492e-139,8.079113302538317e-137,1.0,1.0,Purkinje_Aldoc_1
Gabbr2,25.105005,0.58179456,4.3852897084881226e-139,8.227024600167844e-137,0.998389694041868,0.9981247655956995,Purkinje_Aldoc_1
Gm37240,25.005722,0.8757541,5.2972238207955495e-138,9.855043483271721e-136,0.9887278582930756,0.9823102887860983,Purkinje_Aldoc_1
Camk2d,24.992039,1.4378612,7.461678731400888e-138,1.3767105593266514e-135,0.9710144927536232,0.7209026128266033,Purkinje_Aldoc_1
Tenm3,24.975006,1.8014749,1.1427299188822787e-137,2.0911020851677763e-135,0.9452495974235104,0.7817227153394174,Purkinje_Aldoc_1
Mllt3,24.539595,0.8090372,5.5858744123513594e-133,1.013858912648326e-130,1.0,0.9841230153769222,Purkinje_Aldoc_1
Focad,24.53275,1.625357,6.609341798082218e-133,1.1899480293724638e-130,0.8808373590982287,0.6199524940617577,Purkinje_Aldoc_1
Ntrk3,24.521849,0.9212295,8.638737970161638e-133,1.5428786014708687e-130,0.9806763285024155,0.9626203275409426,Purkinje_Aldoc_1
